# key	medias[0].media.originalUrl	medias[0].media.thumbnailUrl	medias[0].captionTitle.localizations[0].market	medias[0].captionTitle.localizations[0].lang	medias[0].captionTitle.localizations[0].value
TECHNIQUE_102198	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118171_2.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118171.png	GS_FR	fr	Couper une mangue en dés
TECHNIQUE_102199	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118203_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118203.png	GS_FR	fr	Détendre la crème pâtissière
TECHNIQUE_102200	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118216_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118216.png	GS_FR	fr	Monter les blancs en neige
TECHNIQUE_102202	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118242_3.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118242.png	GS_FR	fr	Incorporer les blancs à la pâte
TECHNIQUE_102203	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118325_2.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118325.png	GS_FR	fr	Faire un caramel
TECHNIQUE_102205	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118354_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118354.png	GS_FR	fr	Plier des samossas
TECHNIQUE_102206	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118411_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118411.png	GS_FR	fr	Zester un citron
TECHNIQUE_102207	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118438_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118438.png	GS_FR	fr	Faire un sabayon
TECHNIQUE_102208	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118865_3.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118865.png	GS_FR	fr	Plier une papillotte
TECHNIQUE_102209	http://cookingpartner.prod.apipro.groupe-seb.com/videos/118882_1.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/118882.png	GS_FR	fr	Garnir le moule avec avec les tranches de pommes
TECHNIQUE_102350	http://cookingpartner.prod.apipro.groupe-seb.com/videos/119861.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/119861.png	GS_FR	fr	Brunoise de pommes
TECHNIQUE_102352	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120006.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120006.png	GS_FR	fr	Éplucher un avocat
TECHNIQUE_102353	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120008.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120008.png	GS_FR	fr	Couper la citronnelle
TECHNIQUE_102354	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120015.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120015.png	GS_FR	fr	Couper une carotte en julienne
TECHNIQUE_102355	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120024.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120024.png	GS_FR	fr	Ciseler une échalote
TECHNIQUE_102356	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120030.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120030.png	GS_FR	fr	Hacher le gingembre
TECHNIQUE_102357	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120036.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120036.png	GS_FR	fr	Ciseler un oignon nouveau
TECHNIQUE_102358	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120040.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120040.png	GS_FR	fr	Décortiquer les gambas
TECHNIQUE_102359	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120050.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120050.png	GS_FR	fr	Décortiquer les calamars
TECHNIQUE_102360	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120112.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120112.png	GS_FR	fr	Peler et épépiner un poivron
TECHNIQUE_102361	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120121.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120121.png	GS_FR	fr	Ciseler un oignon
TECHNIQUE_102363	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120156.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120156.png	GS_FR	fr	Préparer les râbles de lapin
TECHNIQUE_102364	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120158.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120158.png	GS_FR	fr	Émincer un oignon nouveau
TECHNIQUE_102365	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120189.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120189.png	GS_FR	fr	Éplucher un céleri-rave
TECHNIQUE_102366	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120204.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120204.png	GS_FR	fr	Torréfier des pignons de pins
TECHNIQUE_102367	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120213.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120213.png	GS_FR	fr	Peler et épépiner une tomate
TECHNIQUE_102368	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120306.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120306.png	GS_FR	fr	Tourner un artichaut
TECHNIQUE_102369	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120310.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120310.png	GS_FR	fr	Préparer les foies de veau
TECHNIQUE_102370	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120319.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120319.png	GS_FR	fr	Réaliser un roux blanc
TECHNIQUE_102371	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120342.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120342.png	GS_FR	fr	Prélever les suprêmes de citron
TECHNIQUE_102372	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120656.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120656.png	GS_FR	fr	Désosser une cuisse de poulet
TECHNIQUE_102373	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120692.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120692.png	GS_FR	fr	Tailler le poulet en aiguillettes
TECHNIQUE_102374	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120693.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120693.png	GS_FR	fr	Plier des feuilles de brick en finger
TECHNIQUE_102376	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120886.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120886.png	GS_FR	fr	Brunoise de légumes
TECHNIQUE_102377	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120889.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120889.png	GS_FR	fr	Rouler un maki
TECHNIQUE_102378	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120908.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120908.png	GS_FR	fr	Rouler les nems / rouleaux de printemps
TECHNIQUE_102379	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120930.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120930.png	GS_FR	fr	Désarêter un poisson
TECHNIQUE_102380	http://cookingpartner.prod.apipro.groupe-seb.com/videos/120991.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/120991.png	GS_FR	fr	Peler un agrume à vif et prélever les suprêmes
TECHNIQUE_102439	http://cookingpartner.prod.apipro.groupe-seb.com/videos/140075.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/140075.png	GS_FR	fr	Éplucher un ananas
TECHNIQUE_102898	http://cookingpartner.prod.apipro.groupe-seb.com/videos/207417.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/207417.png	GS_FR	fr	Peler et épépiner un melon
TECHNIQUE_102899	http://cookingpartner.prod.apipro.groupe-seb.com/videos/207438.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/207438.png	GS_FR	fr	Réaliser un carpaccio de Saint-Jacques
TECHNIQUE_102900	http://cookingpartner.prod.apipro.groupe-seb.com/videos/207859.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/207859.png	GS_FR	fr	Réaliser un carpaccio de bœuf
TECHNIQUE_102901	http://cookingpartner.prod.apipro.groupe-seb.com/videos/208479.mp4	http://cookingpartner.prod.apipro.groupe-seb.com/thumbs/original/208479.png	GS_FR	fr	Ouvrir des huîtres
